kommunenr_1977;kommunenavn_1977;kommunenr_1988;kommunenavn_1988;kommunenr_1992;kommunenavn_1992;kommunenr_1994;kommunenavn_1994;kommunenr_2002;kommunenavn_2002;kommunenr_2005;kommunenavn_2005;kommunenr_2006;kommunenavn_2006;kommunenr_2008;kommunenavn_2008;kommunenr_2012;kommunenavn_2012;kommunenr_2013;kommunenavn_2013;kommunenr_2017;kommunenavn_2017;kommunenr_2018;kommunenavn_2018;kommunenr_2019;kommunenavn_2019;kommunenr_2020;kommunenavn_2020;kommunenr_2024;kommunenavn_2024
0425;Åsnes;0425;Åsnes;0425;Åsnes;0425;Åsnes;0425;Åsnes;0425;Åsnes;0425;Åsnes;0425;Åsnes;0425;Åsnes;0425;Åsnes;0425;Åsnes;0425;Åsnes;0425;Åsnes;3418;Åsnes;3418;Åsnes
1849;Hamarøy;1849;Hamarøy;1849;Hamarøy;1849;Hamarøy;1849;Hamarøy;1849;Hamarøy;1849;Hamarøy;1849;Hamarøy;1849;Hábmer - Hamarøy;1849;Hábmer - Hamarøy;1849;Hábmer - Hamarøy;1849;Hábmer - Hamarøy;1849;Hábmer - Hamarøy;1875;Hábmer - Hamarøy;1875;Hábmer - Hamarøy
0426;Våler (Hedmark);0426;Våler (Hedmark);0426;Våler (Hedmark);0426;Våler (Hedmark);0426;Våler (Hedmark);0426;Våler (Hedmark);0426;Våler (Hedmark);0426;Våler (Hedmark);0426;Våler (Hedmark);0426;Våler (Hedmark);0426;Våler (Hedmark);0426;Våler (Hedmark);0426;Våler (Hedmark);3419;Våler (Innlandet);3419;Våler (Innlandet)
0427;Elverum;0427;Elverum;0427;Elverum;0427;Elverum;0427;Elverum;0427;Elverum;0427;Elverum;0427;Elverum;0427;Elverum;0427;Elverum;0427;Elverum;0427;Elverum;0427;Elverum;3420;Elverum;3420;Elverum
0428;Trysil;0428;Trysil;0428;Trysil;0428;Trysil;0428;Trysil;0428;Trysil;0428;Trysil;0428;Trysil;0428;Trysil;0428;Trysil;0428;Trysil;0428;Trysil;0428;Trysil;3421;Trysil;3421;Trysil
0429;Åmot;0429;Åmot;0429;Åmot;0429;Åmot;0429;Åmot;0429;Åmot;0429;Åmot;0429;Åmot;0429;Åmot;0429;Åmot;0429;Åmot;0429;Åmot;0429;Åmot;3422;Åmot;3422;Åmot
0430;Stor-Elvdal;0430;Stor-Elvdal;0430;Stor-Elvdal;0430;Stor-Elvdal;0430;Stor-Elvdal;0430;Stor-Elvdal;0430;Stor-Elvdal;0430;Stor-Elvdal;0430;Stor-Elvdal;0430;Stor-Elvdal;0430;Stor-Elvdal;0430;Stor-Elvdal;0430;Stor-Elvdal;3423;Stor-Elvdal;3423;Stor-Elvdal
0432;Rendalen;0432;Rendalen;0432;Rendalen;0432;Rendalen;0432;Rendalen;0432;Rendalen;0432;Rendalen;0432;Rendalen;0432;Rendalen;0432;Rendalen;0432;Rendalen;0432;Rendalen;0432;Rendalen;3424;Rendalen;3424;Rendalen
0434;Engerdal;0434;Engerdal;0434;Engerdal;0434;Engerdal;0434;Engerdal;0434;Engerdal;0434;Engerdal;0434;Engerdal;0434;Engerdal;0434;Engerdal;0434;Engerdal;0434;Engerdal;0434;Engerdal;3425;Engerdal;3425;Engerdal
0436;Tolga;0436;Tolga;0436;Tolga;0436;Tolga;0436;Tolga;0436;Tolga;0436;Tolga;0436;Tolga;0436;Tolga;0436;Tolga;0436;Tolga;0436;Tolga;0436;Tolga;3426;Tolga;3426;Tolga
0602;Drammen;0602;Drammen;0602;Drammen;0602;Drammen;0602;Drammen;0602;Drammen;0602;Drammen;0602;Drammen;0602;Drammen;0602;Drammen;0602;Drammen;0602;Drammen;0602;Drammen;3005;Drammen;3301;Drammen
0437;Tynset;0437;Tynset;0437;Tynset;0437;Tynset;0437;Tynset;0437;Tynset;0437;Tynset;0437;Tynset;0437;Tynset;0437;Tynset;0437;Tynset;0437;Tynset;0437;Tynset;3427;Tynset;3427;Tynset
0438;Alvdal;0438;Alvdal;0438;Alvdal;0438;Alvdal;0438;Alvdal;0438;Alvdal;0438;Alvdal;0438;Alvdal;0438;Alvdal;0438;Alvdal;0438;Alvdal;0438;Alvdal;0438;Alvdal;3428;Alvdal;3428;Alvdal
0625;Nedre Eiker;0625;Nedre Eiker;0625;Nedre Eiker;0625;Nedre Eiker;0625;Nedre Eiker;0625;Nedre Eiker;0625;Nedre Eiker;0625;Nedre Eiker;0625;Nedre Eiker;0625;Nedre Eiker;0625;Nedre Eiker;0625;Nedre Eiker;0625;Nedre Eiker;3005;Drammen;3301;Drammen
0439;Folldal;0439;Folldal;0439;Folldal;0439;Folldal;0439;Folldal;0439;Folldal;0439;Folldal;0439;Folldal;0439;Folldal;0439;Folldal;0439;Folldal;0439;Folldal;0439;Folldal;3429;Folldal;3429;Folldal
0441;Os (Hedmark);0441;Os (Hedmark);0441;Os (Hedmark);0441;Os (Hedmark);0441;Os (Hedmark);0441;Os (Hedmark);0441;Os (Hedmark);0441;Os (Hedmark);0441;Os (Hedmark);0441;Os (Hedmark);0441;Os (Hedmark);0441;Os (Hedmark);0441;Os (Hedmark);3430;Os;3430;Os
0501;Lillehammer;0501;Lillehammer;0501;Lillehammer;0501;Lillehammer;0501;Lillehammer;0501;Lillehammer;0501;Lillehammer;0501;Lillehammer;0501;Lillehammer;0501;Lillehammer;0501;Lillehammer;0501;Lillehammer;0501;Lillehammer;3405;Lillehammer;3405;Lillehammer
0711;Svelvik;0711;Svelvik;0711;Svelvik;0711;Svelvik;0711;Svelvik;0711;Svelvik;0711;Svelvik;0711;Svelvik;0711;Svelvik;0711;Svelvik;0711;Svelvik;0711;Svelvik;0711;Svelvik;3005;Drammen;3301;Drammen
0502;Gjøvik;0502;Gjøvik;0502;Gjøvik;0502;Gjøvik;0502;Gjøvik;0502;Gjøvik;0502;Gjøvik;0502;Gjøvik;0502;Gjøvik;0502;Gjøvik;0502;Gjøvik;0502;Gjøvik;0502;Gjøvik;3407;Gjøvik;3407;Gjøvik
0511;Dovre;0511;Dovre;0511;Dovre;0511;Dovre;0511;Dovre;0511;Dovre;0511;Dovre;0511;Dovre;0511;Dovre;0511;Dovre;0511;Dovre;0511;Dovre;0511;Dovre;3431;Dovre;3431;Dovre
0512;Lesja;0512;Lesja;0512;Lesja;0512;Lesja;0512;Lesja;0512;Lesja;0512;Lesja;0512;Lesja;0512;Lesja;0512;Lesja;0512;Lesja;0512;Lesja;0512;Lesja;3432;Lesja;3432;Lesja
0604;Kongsberg;0604;Kongsberg;0604;Kongsberg;0604;Kongsberg;0604;Kongsberg;0604;Kongsberg;0604;Kongsberg;0604;Kongsberg;0604;Kongsberg;0604;Kongsberg;0604;Kongsberg;0604;Kongsberg;0604;Kongsberg;3006;Kongsberg;3303;Kongsberg
0513;Skjåk;0513;Skjåk;0513;Skjåk;0513;Skjåk;0513;Skjåk;0513;Skjåk;0513;Skjåk;0513;Skjåk;0513;Skjåk;0513;Skjåk;0513;Skjåk;0513;Skjåk;0513;Skjåk;3433;Skjåk;3433;Skjåk
0533;Lunner;0533;Lunner;0533;Lunner;0533;Lunner;0533;Lunner;0533;Lunner;0533;Lunner;0533;Lunner;0533;Lunner;0533;Lunner;0533;Lunner;0533;Lunner;0533;Lunner;3054;Lunner;3234;Lunner
0514;Lom;0514;Lom;0514;Lom;0514;Lom;0514;Lom;0514;Lom;0514;Lom;0514;Lom;0514;Lom;0514;Lom;0514;Lom;0514;Lom;0514;Lom;3434;Lom;3434;Lom
0605;Ringerike;0605;Ringerike;0605;Ringerike;0605;Ringerike;0605;Ringerike;0605;Ringerike;0605;Ringerike;0605;Ringerike;0605;Ringerike;0605;Ringerike;0605;Ringerike;0605;Ringerike;0605;Ringerike;3007;Ringerike;3305;Ringerike
0532;Jevnaker;0532;Jevnaker;0532;Jevnaker;0532;Jevnaker;0532;Jevnaker;0532;Jevnaker;0532;Jevnaker;0532;Jevnaker;0532;Jevnaker;0532;Jevnaker;0532;Jevnaker;0532;Jevnaker;0532;Jevnaker;3053;Jevnaker;3236;Jevnaker
0515;Vågå;0515;Vågå;0515;Vågå;0515;Vågå;0515;Vågå;0515;Vågå;0515;Vågå;0515;Vågå;0515;Vågå;0515;Vågå;0515;Vågå;0515;Vågå;0515;Vågå;3435;Vågå;3435;Vågå
0516;Nord-Fron;0516;Nord-Fron;0516;Nord-Fron;0516;Nord-Fron;0516;Nord-Fron;0516;Nord-Fron;0516;Nord-Fron;0516;Nord-Fron;0516;Nord-Fron;0516;Nord-Fron;0516;Nord-Fron;0516;Nord-Fron;0516;Nord-Fron;3436;Nord-Fron;3436;Nord-Fron
0517;Sel;0517;Sel;0517;Sel;0517;Sel;0517;Sel;0517;Sel;0517;Sel;0517;Sel;0517;Sel;0517;Sel;0517;Sel;0517;Sel;0517;Sel;3437;Sel;3437;Sel
0519;Sør-Fron;0519;Sør-Fron;0519;Sør-Fron;0519;Sør-Fron;0519;Sør-Fron;0519;Sør-Fron;0519;Sør-Fron;0519;Sør-Fron;0519;Sør-Fron;0519;Sør-Fron;0519;Sør-Fron;0519;Sør-Fron;0519;Sør-Fron;3438;Sør-Fron;3438;Sør-Fron
0520;Ringebu;0520;Ringebu;0520;Ringebu;0520;Ringebu;0520;Ringebu;0520;Ringebu;0520;Ringebu;0520;Ringebu;0520;Ringebu;0520;Ringebu;0520;Ringebu;0520;Ringebu;0520;Ringebu;3439;Ringebu;3439;Ringebu
0521;Øyer;0521;Øyer;0521;Øyer;0521;Øyer;0521;Øyer;0521;Øyer;0521;Øyer;0521;Øyer;0521;Øyer;0521;Øyer;0521;Øyer;0521;Øyer;0521;Øyer;3440;Øyer;3440;Øyer
0522;Gausdal;0522;Gausdal;0522;Gausdal;0522;Gausdal;0522;Gausdal;0522;Gausdal;0522;Gausdal;0522;Gausdal;0522;Gausdal;0522;Gausdal;0522;Gausdal;0522;Gausdal;0522;Gausdal;3441;Gausdal;3441;Gausdal
0528;Østre Toten;0528;Østre Toten;0528;Østre Toten;0528;Østre Toten;0528;Østre Toten;0528;Østre Toten;0528;Østre Toten;0528;Østre Toten;0528;Østre Toten;0528;Østre Toten;0528;Østre Toten;0528;Østre Toten;0528;Østre Toten;3442;Østre Toten;3442;Østre Toten
0529;Vestre Toten;0529;Vestre Toten;0529;Vestre Toten;0529;Vestre Toten;0529;Vestre Toten;0529;Vestre Toten;0529;Vestre Toten;0529;Vestre Toten;0529;Vestre Toten;0529;Vestre Toten;0529;Vestre Toten;0529;Vestre Toten;0529;Vestre Toten;3443;Vestre Toten;3443;Vestre Toten
0612;Hole;0612;Hole;0612;Hole;0612;Hole;0612;Hole;0612;Hole;0612;Hole;0612;Hole;0612;Hole;0612;Hole;0612;Hole;0612;Hole;0612;Hole;3038;Hole;3310;Hole
0626;Lier;0626;Lier;0626;Lier;0626;Lier;0626;Lier;0626;Lier;0626;Lier;0626;Lier;0626;Lier;0626;Lier;0626;Lier;0626;Lier;0626;Lier;3049;Lier;3312;Lier
0624;Øvre Eiker;0624;Øvre Eiker;0624;Øvre Eiker;0624;Øvre Eiker;0624;Øvre Eiker;0624;Øvre Eiker;0624;Øvre Eiker;0624;Øvre Eiker;0624;Øvre Eiker;0624;Øvre Eiker;0624;Øvre Eiker;0624;Øvre Eiker;0624;Øvre Eiker;3048;Øvre Eiker;3314;Øvre Eiker
0534;Gran;0534;Gran;0534;Gran;0534;Gran;0534;Gran;0534;Gran;0534;Gran;0534;Gran;0534;Gran;0534;Gran;0534;Gran;0534;Gran;0534;Gran;3446;Gran;3446;Gran
0623;Modum;0623;Modum;0623;Modum;0623;Modum;0623;Modum;0623;Modum;0623;Modum;0623;Modum;0623;Modum;0623;Modum;0623;Modum;0623;Modum;0623;Modum;3047;Modum;3316;Modum
0536;Søndre Land;0536;Søndre Land;0536;Søndre Land;0536;Søndre Land;0536;Søndre Land;0536;Søndre Land;0536;Søndre Land;0536;Søndre Land;0536;Søndre Land;0536;Søndre Land;0536;Søndre Land;0536;Søndre Land;0536;Søndre Land;3447;Søndre Land;3447;Søndre Land
0622;Krødsherad;0622;Krødsherad;0622;Krødsherad;0622;Krødsherad;0622;Krødsherad;0622;Krødsherad;0622;Krødsherad;0622;Krødsherad;0622;Krødsherad;0622;Krødsherad;0622;Krødsherad;0622;Krødsherad;0622;Krødsherad;3046;Krødsherad;3318;Krødsherad
0538;Nordre Land;0538;Nordre Land;0538;Nordre Land;0538;Nordre Land;0538;Nordre Land;0538;Nordre Land;0538;Nordre Land;0538;Nordre Land;0538;Nordre Land;0538;Nordre Land;0538;Nordre Land;0538;Nordre Land;0538;Nordre Land;3448;Nordre Land;3448;Nordre Land
0615;Flå;0615;Flå;0615;Flå;0615;Flå;0615;Flå;0615;Flå;0615;Flå;0615;Flå;0615;Flå;0615;Flå;0615;Flå;0615;Flå;0615;Flå;3039;Flå;3320;Flå
0540;Sør-Aurdal;0540;Sør-Aurdal;0540;Sør-Aurdal;0540;Sør-Aurdal;0540;Sør-Aurdal;0540;Sør-Aurdal;0540;Sør-Aurdal;0540;Sør-Aurdal;0540;Sør-Aurdal;0540;Sør-Aurdal;0540;Sør-Aurdal;0540;Sør-Aurdal;0540;Sør-Aurdal;3449;Sør-Aurdal;3449;Sør-Aurdal
0616;Nes (Buskerud);0616;Nes (Buskerud);0616;Nes (Buskerud);0616;Nes (Buskerud);0616;Nes (Buskerud);0616;Nes (Buskerud);0616;Nes (Buskerud);0616;Nes (Buskerud);0616;Nes (Buskerud);0616;Nes (Buskerud);0616;Nes (Buskerud);0616;Nes (Buskerud);0616;Nes (Buskerud);3040;Nesbyen;3322;Nesbyen
0541;Etnedal;0541;Etnedal;0541;Etnedal;0541;Etnedal;0541;Etnedal;0541;Etnedal;0541;Etnedal;0541;Etnedal;0541;Etnedal;0541;Etnedal;0541;Etnedal;0541;Etnedal;0541;Etnedal;3450;Etnedal;3450;Etnedal
0617;Gol;0617;Gol;0617;Gol;0617;Gol;0617;Gol;0617;Gol;0617;Gol;0617;Gol;0617;Gol;0617;Gol;0617;Gol;0617;Gol;0617;Gol;3041;Gol;3324;Gol
0542;Nord-Aurdal;0542;Nord-Aurdal;0542;Nord-Aurdal;0542;Nord-Aurdal;0542;Nord-Aurdal;0542;Nord-Aurdal;0542;Nord-Aurdal;0542;Nord-Aurdal;0542;Nord-Aurdal;0542;Nord-Aurdal;0542;Nord-Aurdal;0542;Nord-Aurdal;0542;Nord-Aurdal;3451;Nord-Aurdal;3451;Nord-Aurdal
0543;Vestre Slidre;0543;Vestre Slidre;0543;Vestre Slidre;0543;Vestre Slidre;0543;Vestre Slidre;0543;Vestre Slidre;0543;Vestre Slidre;0543;Vestre Slidre;0543;Vestre Slidre;0543;Vestre Slidre;0543;Vestre Slidre;0543;Vestre Slidre;0543;Vestre Slidre;3452;Vestre Slidre;3452;Vestre Slidre
0618;Hemsedal;0618;Hemsedal;0618;Hemsedal;0618;Hemsedal;0618;Hemsedal;0618;Hemsedal;0618;Hemsedal;0618;Hemsedal;0618;Hemsedal;0618;Hemsedal;0618;Hemsedal;0618;Hemsedal;0618;Hemsedal;3042;Hemsedal;3326;Hemsedal
0544;Øystre Slidre;0544;Øystre Slidre;0544;Øystre Slidre;0544;Øystre Slidre;0544;Øystre Slidre;0544;Øystre Slidre;0544;Øystre Slidre;0544;Øystre Slidre;0544;Øystre Slidre;0544;Øystre Slidre;0544;Øystre Slidre;0544;Øystre Slidre;0544;Øystre Slidre;3453;Øystre Slidre;3453;Øystre Slidre
0545;Vang;0545;Vang;0545;Vang;0545;Vang;0545;Vang;0545;Vang;0545;Vang;0545;Vang;0545;Vang;0545;Vang;0545;Vang;0545;Vang;0545;Vang;3454;Vang;3454;Vang
0619;Ål;0619;Ål;0619;Ål;0619;Ål;0619;Ål;0619;Ål;0619;Ål;0619;Ål;0619;Ål;0619;Ål;0619;Ål;0619;Ål;0619;Ål;3043;Ål;3328;Ål
0620;Hol;0620;Hol;0620;Hol;0620;Hol;0620;Hol;0620;Hol;0620;Hol;0620;Hol;0620;Hol;0620;Hol;0620;Hol;0620;Hol;0620;Hol;3044;Hol;3330;Hol
0621;Sigdal;0621;Sigdal;0621;Sigdal;0621;Sigdal;0621;Sigdal;0621;Sigdal;0621;Sigdal;0621;Sigdal;0621;Sigdal;0621;Sigdal;0621;Sigdal;0621;Sigdal;0621;Sigdal;3045;Sigdal;3332;Sigdal
0631;Flesberg;0631;Flesberg;0631;Flesberg;0631;Flesberg;0631;Flesberg;0631;Flesberg;0631;Flesberg;0631;Flesberg;0631;Flesberg;0631;Flesberg;0631;Flesberg;0631;Flesberg;0631;Flesberg;3050;Flesberg;3334;Flesberg
0632;Rollag;0632;Rollag;0632;Rollag;0632;Rollag;0632;Rollag;0632;Rollag;0632;Rollag;0632;Rollag;0632;Rollag;0632;Rollag;0632;Rollag;0632;Rollag;0632;Rollag;3051;Rollag;3336;Rollag
0633;Nore og Uvdal;0633;Nore og Uvdal;0633;Nore og Uvdal;0633;Nore og Uvdal;0633;Nore og Uvdal;0633;Nore og Uvdal;0633;Nore og Uvdal;0633;Nore og Uvdal;0633;Nore og Uvdal;0633;Nore og Uvdal;0633;Nore og Uvdal;0633;Nore og Uvdal;0633;Nore og Uvdal;3052;Nore og Uvdal;3338;Nore og Uvdal
0703;Horten;0701;Borre;0701;Borre;0701;Borre;0701;Horten;0701;Horten;0701;Horten;0701;Horten;0701;Horten;0701;Horten;0701;Horten;0701;Horten;0701;Horten;3801;Horten;3901;Horten
0717;Borre;0701;Borre;0701;Borre;0701;Borre;0701;Horten;0701;Horten;0701;Horten;0701;Horten;0701;Horten;0701;Horten;0701;Horten;0701;Horten;0701;Horten;3801;Horten;3901;Horten
0705;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;3803;Tønsberg;3905;Tønsberg
0721;Sem;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;0704;Tønsberg;3803;Tønsberg;3905;Tønsberg
0706;Sandefjord;0706;Sandefjord;0706;Sandefjord;0706;Sandefjord;0706;Sandefjord;0706;Sandefjord;0706;Sandefjord;0706;Sandefjord;0706;Sandefjord;0706;Sandefjord;0710;Sandefjord;0710;Sandefjord;0710;Sandefjord;3804;Sandefjord;3907;Sandefjord
0719;Andebu;0719;Andebu;0719;Andebu;0719;Andebu;0719;Andebu;0719;Andebu;0719;Andebu;0719;Andebu;0719;Andebu;0719;Andebu;0710;Sandefjord;0710;Sandefjord;0710;Sandefjord;3804;Sandefjord;3907;Sandefjord
0720;Stokke;0720;Stokke;0720;Stokke;0720;Stokke;0720;Stokke;0720;Stokke;0720;Stokke;0720;Stokke;0720;Stokke;0720;Stokke;0710;Sandefjord;0710;Sandefjord;0710;Sandefjord;3804;Sandefjord;3907;Sandefjord
0707;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0712;Larvik;0712;Larvik;3805;Larvik;3909;Larvik
0708;Stavern;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0712;Larvik;0712;Larvik;3805;Larvik;3909;Larvik
0725;Tjølling;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0712;Larvik;0712;Larvik;3805;Larvik;3909;Larvik
0726;Brunlanes;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0712;Larvik;0712;Larvik;3805;Larvik;3909;Larvik
0727;Hedrum;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0709;Larvik;0712;Larvik;0712;Larvik;3805;Larvik;3909;Larvik
0728;Lardal;0728;Lardal;0728;Lardal;0728;Lardal;0728;Lardal;0728;Lardal;0728;Lardal;0728;Lardal;0728;Lardal;0728;Lardal;0728;Lardal;0712;Larvik;0712;Larvik;3805;Larvik;3909;Larvik
0713;Sande (Vestfold);0713;Sande (Vestfold);0713;Sande (Vestfold);0713;Sande (Vestfold);0713;Sande (Vestfold);0713;Sande (Vestfold);0713;Sande (Vestfold);0713;Sande (Vestfold);0713;Sande (Vestfold);0713;Sande (Vestfold);0713;Sande (Vestfold);0713;Sande (Vestfold);0713;Sande (Vestfold);3802;Holmestrand;3903;Holmestrand
0702;Holmestrand;0702;Holmestrand;0702;Holmestrand;0702;Holmestrand;0702;Holmestrand;0702;Holmestrand;0702;Holmestrand;0702;Holmestrand;0702;Holmestrand;0702;Holmestrand;0702;Holmestrand;0715;Holmestrand;0715;Holmestrand;3802;Holmestrand;3903;Holmestrand
0714;Hof;0714;Hof;0714;Hof;0714;Hof;0714;Hof;0714;Hof;0714;Hof;0714;Hof;0714;Hof;0714;Hof;0714;Hof;0715;Holmestrand;0715;Holmestrand;3802;Holmestrand;3903;Holmestrand
0716;Våle;0716;Våle;0716;Våle;0716;Våle;0716;Re;0716;Re;0716;Re;0716;Re;0716;Re;0716;Re;0716;Re;0716;Re;0716;Re;3803;Tønsberg;3905;Tønsberg
0718;Ramnes;0718;Ramnes;0718;Ramnes;0718;Ramnes;0716;Re;0716;Re;0716;Re;0716;Re;0716;Re;0716;Re;0716;Re;0716;Re;0716;Re;3803;Tønsberg;3905;Tønsberg
0722;Nøtterøy;0722;Nøtterøy;0722;Nøtterøy;0722;Nøtterøy;0722;Nøtterøy;0722;Nøtterøy;0722;Nøtterøy;0722;Nøtterøy;0722;Nøtterøy;0722;Nøtterøy;0722;Nøtterøy;0729;Færder;0729;Færder;3811;Færder;3911;Færder
0723;Tjøme;0723;Tjøme;0723;Tjøme;0723;Tjøme;0723;Tjøme;0723;Tjøme;0723;Tjøme;0723;Tjøme;0723;Tjøme;0723;Tjøme;0723;Tjøme;0729;Færder;0729;Færder;3811;Færder;3911;Færder
0805;Porsgrunn;0805;Porsgrunn;0805;Porsgrunn;0805;Porsgrunn;0805;Porsgrunn;0805;Porsgrunn;0805;Porsgrunn;0805;Porsgrunn;0805;Porsgrunn;0805;Porsgrunn;0805;Porsgrunn;0805;Porsgrunn;0805;Porsgrunn;3806;Porsgrunn;4001;Porsgrunn
0806;Skien;0806;Skien;0806;Skien;0806;Skien;0806;Skien;0806;Skien;0806;Skien;0806;Skien;0806;Skien;0806;Skien;0806;Skien;0806;Skien;0806;Skien;3807;Skien;4003;Skien
0807;Notodden;0807;Notodden;0807;Notodden;0807;Notodden;0807;Notodden;0807;Notodden;0807;Notodden;0807;Notodden;0807;Notodden;0807;Notodden;0807;Notodden;0807;Notodden;0807;Notodden;3808;Notodden;4005;Notodden
0811;Siljan;0811;Siljan;0811;Siljan;0811;Siljan;0811;Siljan;0811;Siljan;0811;Siljan;0811;Siljan;0811;Siljan;0811;Siljan;0811;Siljan;0811;Siljan;0811;Siljan;3812;Siljan;4010;Siljan
0814;Bamble;0814;Bamble;0814;Bamble;0814;Bamble;0814;Bamble;0814;Bamble;0814;Bamble;0814;Bamble;0814;Bamble;0814;Bamble;0814;Bamble;0814;Bamble;0814;Bamble;3813;Bamble;4012;Bamble
0815;Kragerø;0815;Kragerø;0815;Kragerø;0815;Kragerø;0815;Kragerø;0815;Kragerø;0815;Kragerø;0815;Kragerø;0815;Kragerø;0815;Kragerø;0815;Kragerø;0815;Kragerø;0815;Kragerø;3814;Kragerø;4014;Kragerø
0817;Drangedal;0817;Drangedal;0817;Drangedal;0817;Drangedal;0817;Drangedal;0817;Drangedal;0817;Drangedal;0817;Drangedal;0817;Drangedal;0817;Drangedal;0817;Drangedal;0817;Drangedal;0817;Drangedal;3815;Drangedal;4016;Drangedal
0819;Nome;0819;Nome;0819;Nome;0819;Nome;0819;Nome;0819;Nome;0819;Nome;0819;Nome;0819;Nome;0819;Nome;0819;Nome;0819;Nome;0819;Nome;3816;Nome;4018;Nome
0821;Bø (Telemark);0821;Bø (Telemark);0821;Bø (Telemark);0821;Bø (Telemark);0821;Bø (Telemark);0821;Bø (Telemark);0821;Bø (Telemark);0821;Bø (Telemark);0821;Bø (Telemark);0821;Bø (Telemark);0821;Bø (Telemark);0821;Bø (Telemark);0821;Bø (Telemark);3817;Midt-Telemark;4020;Midt-Telemark
0822;Sauherad;0822;Sauherad;0822;Sauherad;0822;Sauherad;0822;Sauherad;0822;Sauherad;0822;Sauherad;0822;Sauherad;0822;Sauherad;0822;Sauherad;0822;Sauherad;0822;Sauherad;0822;Sauherad;3817;Midt-Telemark;4020;Midt-Telemark
0826;Tinn;0826;Tinn;0826;Tinn;0826;Tinn;0826;Tinn;0826;Tinn;0826;Tinn;0826;Tinn;0826;Tinn;0826;Tinn;0826;Tinn;0826;Tinn;0826;Tinn;3818;Tinn;4026;Tinn
0827;Hjartdal;0827;Hjartdal;0827;Hjartdal;0827;Hjartdal;0827;Hjartdal;0827;Hjartdal;0827;Hjartdal;0827;Hjartdal;0827;Hjartdal;0827;Hjartdal;0827;Hjartdal;0827;Hjartdal;0827;Hjartdal;3819;Hjartdal;4024;Hjartdal
0828;Seljord;0828;Seljord;0828;Seljord;0828;Seljord;0828;Seljord;0828;Seljord;0828;Seljord;0828;Seljord;0828;Seljord;0828;Seljord;0828;Seljord;0828;Seljord;0828;Seljord;3820;Seljord;4022;Seljord
0829;Kviteseid;0829;Kviteseid;0829;Kviteseid;0829;Kviteseid;0829;Kviteseid;0829;Kviteseid;0829;Kviteseid;0829;Kviteseid;0829;Kviteseid;0829;Kviteseid;0829;Kviteseid;0829;Kviteseid;0829;Kviteseid;3821;Kviteseid;4028;Kviteseid
0830;Nissedal;0830;Nissedal;0830;Nissedal;0830;Nissedal;0830;Nissedal;0830;Nissedal;0830;Nissedal;0830;Nissedal;0830;Nissedal;0830;Nissedal;0830;Nissedal;0830;Nissedal;0830;Nissedal;3822;Nissedal;4030;Nissedal
0831;Fyresdal;0831;Fyresdal;0831;Fyresdal;0831;Fyresdal;0831;Fyresdal;0831;Fyresdal;0831;Fyresdal;0831;Fyresdal;0831;Fyresdal;0831;Fyresdal;0831;Fyresdal;0831;Fyresdal;0831;Fyresdal;3823;Fyresdal;4032;Fyresdal
0833;Tokke;0833;Tokke;0833;Tokke;0833;Tokke;0833;Tokke;0833;Tokke;0833;Tokke;0833;Tokke;0833;Tokke;0833;Tokke;0833;Tokke;0833;Tokke;0833;Tokke;3824;Tokke;4034;Tokke
0834;Vinje;0834;Vinje;0834;Vinje;0834;Vinje;0834;Vinje;0834;Vinje;0834;Vinje;0834;Vinje;0834;Vinje;0834;Vinje;0834;Vinje;0834;Vinje;0834;Vinje;3825;Vinje;4036;Vinje
0901;Risør;0901;Risør;0901;Risør;0901;Risør;0901;Risør;0901;Risør;0901;Risør;0901;Risør;0901;Risør;0901;Risør;0901;Risør;0901;Risør;0901;Risør;4201;Risør;4201;Risør
0904;Grimstad;0904;Grimstad;0904;Grimstad;0904;Grimstad;0904;Grimstad;0904;Grimstad;0904;Grimstad;0904;Grimstad;0904;Grimstad;0904;Grimstad;0904;Grimstad;0904;Grimstad;0904;Grimstad;4202;Grimstad;4202;Grimstad
