dimensions.code,dimensions.label,land,land_code,fylke,fylke_code,kommune,kommune_code,bydel,bydel_code,region_code,region_navn,region_level
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Herøy (Møre og Romsdal),1515,,,1515,Herøy (Møre og Romsdal),kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Ulstein,1516,,,1516,Ulstein,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Hareid,1517,,,1517,Hareid,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Ørsta,1520,,,1520,Ørsta,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Stranda,1525,,,1525,Stranda,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Sykkylven,1528,,,1528,Sykkylven,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Sula,1531,,,1531,Sula,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Giske,1532,,,1532,Giske,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Vestnes,1535,,,1535,Vestnes,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Rauma,1539,,,1539,Rauma,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Aukra,1547,,,1547,Aukra,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Averøy,1554,,,1554,Averøy,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Gjemnes,1557,,,1557,Gjemnes,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Tingvoll,1560,,,1560,Tingvoll,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Sunndal,1563,,,1563,Sunndal,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Surnadal,1566,,,1566,Surnadal,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Smøla,1573,,,1573,Smøla,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Aure,1576,,,1576,Aure,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Volda,1577,,,1577,Volda,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Fjord,1578,,,1578,Fjord,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Hustadvika,1579,,,1579,Hustadvika,kommune
GEO,Geografi,Hele landet,0,Møre og Romsdal,15,Haram,1580,,,1580,Haram,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,,,,,18,Nordland Nordlánnda,fylke
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Bodø,1804,,,1804,Bodø,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Narvik,1806,,,1806,Narvik,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Bindal,1811,,,1811,Bindal,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Sømna,1812,,,1812,Sømna,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Brønnøy,1813,,,1813,Brønnøy,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Vega,1815,,,1815,Vega,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Vevelstad,1816,,,1816,Vevelstad,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Herøy (Nordland),1818,,,1818,Herøy (Nordland),kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Alstahaug,1820,,,1820,Alstahaug,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Leirfjord,1822,,,1822,Leirfjord,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Vefsn,1824,,,1824,Vefsn,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Grane,1825,,,1825,Grane,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Aarborte Hattfjelldal,1826,,,1826,Aarborte Hattfjelldal,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Dønna,1827,,,1827,Dønna,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Nesna,1828,,,1828,Nesna,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Hemnes,1832,,,1832,Hemnes,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Rana,1833,,,1833,Rana,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Lurøy,1834,,,1834,Lurøy,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Træna,1835,,,1835,Træna,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Rødøy,1836,,,1836,Rødøy,kommune
GEO,Geografi,Hele landet,0,Nordland Nordlánnda,18,Meløy,1837,,,1837,Meløy,kommune
