kommunenr_2024,kommunenavn_2024,Kilde,kommunenr_historiske,kommuner_alle.name
1511,Vanylven,kommunenr_1977,1511,Vanylven
1514,Sande,kommunenr_1977,1514,Sande
1514,Sande,kommunenr_1977,1514,Sande (Mõre og Romsdal)
1515,Herõy (Mõre og Romsdal),kommunenr_1977,1515,Herõy (Mõre og Romsdal)
1516,Ulstein,kommunenr_1977,1516,Ulstein
1517,Hareid,kommunenr_1977,1517,Hareid
1520,ùrsta,kommunenr_1977,1520,ùrsta
1525,Stranda,kommunenr_1977,1525,Stranda
1528,Sykkylven,kommunenr_1977,1528,Sykkylven
1531,Sula,kommunenr_1977,1531,Sula
1532,Giske,kommunenr_1977,1532,Giske
1535,Vestnes,kommunenr_1977,1535,Vestnes
1539,Rauma,kommunenr_1977,1539,Rauma
1547,Aukra,kommunenr_1977,1547,Aukra
1554,Averõy,kommunenr_1977,1554,Averõy
1557,Gjemnes,kommunenr_1977,1557,Gjemnes
1560,Tingvoll,kommunenr_1977,1560,Tingvoll
1563,Sunndal,kommunenr_1977,1563,Sunndal
1566,Surnadal,kommunenr_1977,1566,Surnadal
1573,Smõla,kommunenr_1977,1573,Smõla
1576,Aure,kommunenr_1977,1569,Aure
1576,Aure,kommunenr_1977,1572,Tustna
1576,Aure,kommunenr_2006,1576,Aure
1577,Volda,kommunenr_1977,1444,Hornindal
1577,Volda,kommunenr_2020,1577,Volda
1577,Volda,kommunenr_1977,1519,Volda
1578,Fjord,kommunenr_2020,1578,Fjord
1578,Fjord,kommunenr_1977,1526,Stordal
1578,Fjord,kommunenr_1977,1524,Norddal
1579,Hustadvika,kommunenr_2020,1579,Hustadvika
1579,Hustadvika,kommunenr_1977,1548,Frëna
1579,Hustadvika,kommunenr_1977,1551,Eide
1580,Haram,kommunenr_1977,1534,Haram
1580,Haram,kommunenr_2024,1580,Haram
1804,Bodõ,kommunenr_1977,1842,Skjerstad
1804,Bodõ,kommunenr_1977,1804,Bodõ
1806,Narvik,kommunenr_2020,1806,Narvik
1806,Narvik,kommunenr_1977,1854,Ballangen
1806,Narvik,kommunenr_1977,1850,Tysfjord - Divtasvuodna
1806,Narvik,kommunenr_1977,1805,Narvik
1806,Narvik,kommunenr_1977,1850,Tysfjord
1811,Bindal,kommunenr_1977,1811,Bindal
1812,Sõmna,kommunenr_1977,1812,Sõmna
1813,Brõnnõy,kommunenr_1977,1813,Brõnnõy
1815,Vega,kommunenr_1977,1815,Vega
1816,Vevelstad,kommunenr_1977,1816,Vevelstad
