code,name,validFrom,validTo,isValid,1919.newCode,1919.newName,1936.newCode,1936.newName,1972.newCode,1972.newName,2018.newCode,2018.newName,2020.newCode,2020.newName,2024.newCode,2024.newName
19,Troms - Romsa,2007-01-01,2020-01-01,invalid,19,Troms,19,Troms,19,Troms,19,Troms,54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,55,Troms - Romsa - Tromssa
19,Tromsø amt,1867-01-01,1919-01-01,invalid,19,Troms,19,Troms,19,Troms,19,Troms,54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,55,Troms - Romsa - Tromssa
19,Troms,1919-01-01,2007-01-01,invalid,19,Troms,19,Troms,19,Troms,19,Troms,54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,55,Troms - Romsa - Tromssa
20,Finnmarkens amt,1842-01-01,1919-01-01,invalid,20,Finnmark,20,Finnmark,20,Finnmark,20,Finnmark,54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,56,Finnmark - Finnmárku - Finmarkku
20,Finnmark - Finnmárku,2003-01-01,2020-01-01,invalid,20,Finnmark,20,Finnmark,20,Finnmark,20,Finnmark,54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,56,Finnmark - Finnmárku - Finmarkku
20,Finnmark,1919-01-01,2003-01-01,invalid,20,Finnmark,20,Finnmark,20,Finnmark,20,Finnmark,54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,56,Finnmark - Finnmárku - Finmarkku
30,Viken,2020-01-01,2024-01-01,invalid,,,,,,,,,,,,
31,Østfold,2024-01-01,,valid,,,,,,,,,,,31,Østfold
32,Akershus,2024-01-01,,valid,,,,,,,,,,,32,Akershus
33,Buskerud,2024-01-01,,valid,,,,,,,,,,,33,Buskerud
34,Innlandet,2020-01-01,,valid,,,,,,,,,,,34,Innlandet
38,Vestfold og Telemark,2020-01-01,2024-01-01,invalid,,,,,,,,,,,,
39,Vestfold,2024-01-01,,valid,,,,,,,,,,,39,Vestfold
40,Telemark,2024-01-01,,valid,,,,,,,,,,,40,Telemark
42,Agder,2020-01-01,,valid,,,,,,,,,,,42,Agder
46,Vestland,2020-01-01,,valid,,,,,,,,,,,46,Vestland
50,Trøndelag,2018-01-01,2020-01-01,invalid,,,,,,,,,,,,
50,Trøndelag - Trööndelage,2020-01-01,,valid,,,,,,,,,,,50,Trøndelag - Trööndelage
54,Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku,2020-01-01,2024-01-01,invalid,,,,,,,,,,,,
55,Troms - Romsa - Tromssa,2024-01-01,,valid,,,,,,,,,,,55,Troms - Romsa - Tromssa
56,Finnmark - Finnmárku - Finmarkku,2024-01-01,,valid,,,,,,,,,,,56,Finnmark - Finnmárku - Finmarkku
99,Uoppgitt,1842-01-01,,valid,,,,,,,,,,,99,Uoppgitt
