kommunenr_2024,kommunenavn_2024,landsdelnr,landsdel
3433,Skjåk,2,Innlandet
3434,Lom,2,Innlandet
3435,Vågå,2,Innlandet
3436,Nord-Fron,2,Innlandet
3437,Sel,2,Innlandet
3438,Sør-Fron,2,Innlandet
3439,Ringebu,2,Innlandet
3440,Øyer,2,Innlandet
3441,Gausdal,2,Innlandet
3442,Østre Toten,2,Innlandet
3443,Vestre Toten,2,Innlandet
3446,Gran,2,Innlandet
3447,Søndre Land,2,Innlandet
3448,Nordre Land,2,Innlandet
3449,Sør-Aurdal,2,Innlandet
3450,Etnedal,2,Innlandet
3451,Nord-Aurdal,2,Innlandet
3452,Vestre Slidre,2,Innlandet
3453,Øystre Slidre,2,Innlandet
3454,Vang,2,Innlandet
3901,Horten,3,Agder og Sør-Østlandet
3903,Holmestrand,3,Agder og Sør-Østlandet
3905,Tønsberg,3,Agder og Sør-Østlandet
3907,Sandefjord,3,Agder og Sør-Østlandet
3909,Larvik,3,Agder og Sør-Østlandet
3911,Færder,3,Agder og Sør-Østlandet
4001,Porsgrunn,3,Agder og Sør-Østlandet
4003,Skien,3,Agder og Sør-Østlandet
4005,Notodden,3,Agder og Sør-Østlandet
4010,Siljan,3,Agder og Sør-Østlandet
4012,Bamble,3,Agder og Sør-Østlandet
4014,Kragerø,3,Agder og Sør-Østlandet
4016,Drangedal,3,Agder og Sør-Østlandet
4018,Nome,3,Agder og Sør-Østlandet
4020,Midt-Telemark,3,Agder og Sør-Østlandet
4022,Seljord,3,Agder og Sør-Østlandet
4024,Hjartdal,3,Agder og Sør-Østlandet
4026,Tinn,3,Agder og Sør-Østlandet
4028,Kviteseid,3,Agder og Sør-Østlandet
4030,Nissedal,3,Agder og Sør-Østlandet
4032,Fyresdal,3,Agder og Sør-Østlandet
4034,Tokke,3,Agder og Sør-Østlandet
4036,Vinje,3,Agder og Sør-Østlandet
4201,Risør,3,Agder og Sør-Østlandet
4202,Grimstad,3,Agder og Sør-Østlandet
4203,Arendal,3,Agder og Sør-Østlandet
4204,Kristiansand,3,Agder og Sør-Østlandet
4205,Lindesnes,3,Agder og Sør-Østlandet
4206,Farsund,3,Agder og Sør-Østlandet
4207,Flekkefjord,3,Agder og Sør-Østlandet
4211,Gjerstad,3,Agder og Sør-Østlandet
4212,Vegårshei,3,Agder og Sør-Østlandet
4213,Tvedestrand,3,Agder og Sør-Østlandet
4214,Froland,3,Agder og Sør-Østlandet
4215,Lillesand,3,Agder og Sør-Østlandet
4216,Birkenes,3,Agder og Sør-Østlandet
4217,Åmli,3,Agder og Sør-Østlandet
4218,Iveland,3,Agder og Sør-Østlandet
4219,Evje og Hornnes,3,Agder og Sør-Østlandet
4220,Bygland,3,Agder og Sør-Østlandet
4221,Valle,3,Agder og Sør-Østlandet
4222,Bykle,3,Agder og Sør-Østlandet
4223,Vennesla,3,Agder og Sør-Østlandet
4224,Åseral,3,Agder og Sør-Østlandet
4225,Lyngdal,3,Agder og Sør-Østlandet
4226,Hægebostad,3,Agder og Sør-Østlandet
4227,Kvinesdal,3,Agder og Sør-Østlandet
4228,Sirdal,3,Agder og Sør-Østlandet
4601,Bergen,4,Vestlandet
4602,Kinn,4,Vestlandet
4611,Etne,4,Vestlandet
4612,Sveio,4,Vestlandet
4613,Bømlo,4,Vestlandet
4614,Stord,4,Vestlandet
4615,Fitjar,4,Vestlandet
4616,Tysnes,4,Vestlandet
4617,Kvinnherad,4,Vestlandet
4618,Ullensvang,4,Vestlandet
4619,Eidfjord,4,Vestlandet
4620,Ulvik,4,Vestlandet
4621,Voss,4,Vestlandet
4622,Kvam,4,Vestlandet
4623,Samnanger,4,Vestlandet
4624,Bjørnafjorden,4,Vestlandet
4625,Austevoll,4,Vestlandet
4626,Øygarden,4,Vestlandet
4627,Askøy,4,Vestlandet
4628,Vaksdal,4,Vestlandet
4629,Modalen,4,Vestlandet
4630,Osterøy,4,Vestlandet
4631,Alver,4,Vestlandet
4632,Austrheim,4,Vestlandet
4633,Fedje,4,Vestlandet
4634,Masfjorden,4,Vestlandet
4635,Gulen,4,Vestlandet
4636,Solund,4,Vestlandet
4637,Hyllestad,4,Vestlandet
4638,Høyanger,4,Vestlandet
4639,Vik,4,Vestlandet
4640,Sogndal,4,Vestlandet
4641,Aurland,4,Vestlandet
4642,Lærdal,4,Vestlandet
4643,Årdal,4,Vestlandet
4644,Luster,4,Vestlandet
4645,Askvoll,4,Vestlandet
4646,Fjaler,4,Vestlandet
4647,Sunnfjord,4,Vestlandet
4648,Bremanger,4,Vestlandet
4649,Stad,4,Vestlandet
4650,Gloppen,4,Vestlandet
4651,Stryn,4,Vestlandet
5001,Trondheim - Tråante,5,Trøndelag
5006,Steinkjer,5,Trøndelag
5007,Namsos - Nåavmesjenjaelmie,5,Trøndelag
5014,Frøya,5,Trøndelag
5020,Osen,5,Trøndelag
5021,Oppdal,5,Trøndelag
5022,Rennebu,5,Trøndelag
5025,Røros - Rossen,5,Trøndelag
5026,Holtålen,5,Trøndelag
5027,Midtre Gauldal,5,Trøndelag
5028,Melhus,5,Trøndelag
5029,Skaun,5,Trøndelag
5031,Malvik,5,Trøndelag
5032,Selbu,5,Trøndelag
5033,Tydal,5,Trøndelag
5034,Meråker,5,Trøndelag
5035,Stjørdal,5,Trøndelag
5036,Frosta,5,Trøndelag
5037,Levanger,5,Trøndelag
5038,Verdal,5,Trøndelag
5041,Snåase - Snåsa,5,Trøndelag
5042,Lierne,5,Trøndelag
5043,Raarvihke - Røyrvik,5,Trøndelag
5044,Namsskogan,5,Trøndelag
5045,Grong,5,Trøndelag
5046,Høylandet,5,Trøndelag
5047,Overhalla,5,Trøndelag
5049,Flatanger,5,Trøndelag
5052,Leka,5,Trøndelag
5053,Inderøy,5,Trøndelag
5054,Indre Fosen,5,Trøndelag
5055,Heim,5,Trøndelag
5056,Hitra,5,Trøndelag
5057,Ørland,5,Trøndelag
5058,Åfjord,5,Trøndelag
5059,Orkland,5,Trøndelag
5060,Nærøysund,5,Trøndelag
5061,Rindal,5,Trøndelag
5501,Tromsø,6,Nord-Norge
5503,Harstad - Hárstták,6,Nord-Norge
5510,Kvæfjord,6,Nord-Norge
5512,Dielddanuorri - Tjeldsund,6,Nord-Norge
5514,Ibestad,6,Nord-Norge
5516,Gratangen,6,Nord-Norge
5518,Loabák - Lavangen,6,Nord-Norge
5520,Bardu,6,Nord-Norge
5522,Salangen,6,Nord-Norge
5524,Målselv,6,Nord-Norge
5526,Sørreisa,6,Nord-Norge
5528,Dyrøy,6,Nord-Norge
5530,Senja,6,Nord-Norge
5532,Balsfjord,6,Nord-Norge
5534,Karlsøy,6,Nord-Norge
5536,Lyngen,6,Nord-Norge
5538,Storfjord - Omasvuotna - Omasvuono,6,Nord-Norge
5540,Gáivuotna - Kåfjord - Kaivuono,6,Nord-Norge
5542,Skjervøy,6,Nord-Norge
5544,Nordreisa - Ráisa - Raisi,6,Nord-Norge
5546,Kvænangen,6,Nord-Norge
5601,Alta,6,Nord-Norge
5603,Hammerfest - Hámmerfeasta,6,Nord-Norge
