kommunenr_2024,kommunenavn_2024,kilde,kommunenr_historiske,kommunenavn_historiske
1859,Flakstad,kommunenr_1977,1859,Flakstad
1860,Vestvågøy,kommunenr_1977,1860,Vestvågøy
1865,Vågan,kommunenr_1977,1865,Vågan
1866,Hadsel,kommunenr_1977,1866,Hadsel
1867,Bø,kommunenr_1977,1867,Bø (Nordland)
1867,Bø,kommunenr_1977,1867,Bø
1868,Øksnes,kommunenr_1977,1868,Øksnes
1870,Sortland - Suortá,kommunenr_1977,1870,Sortland - Suortá
1870,Sortland - Suortá,kommunenr_1977,1870,Sortland
1871,Andøy,kommunenr_1977,1871,Andøy
1874,Moskenes,kommunenr_1977,1874,Moskenes
1875,Hábmer - Hamarøy,kommunenr_1977,1849,Hábmer - Hamarøy
1875,Hábmer - Hamarøy,kommunenr_1977,1849,Hamarøy
1875,Hábmer - Hamarøy,kommunenr_2024,1875,Hábmer - Hamarøy
3101,Halden,kommunenr_2024,3101,Halden
3101,Halden,kommunenr_2020,3001,Halden
3101,Halden,kommunenr_1977,0101,Halden
3103,Moss,kommunenr_2020,3002,Moss
3103,Moss,kommunenr_1977,0136,Rygge
3103,Moss,kommunenr_1977,0104,Moss
3103,Moss,kommunenr_2024,3103,Moss
3105,Sarpsborg,kommunenr_2024,3105,Sarpsborg
3105,Sarpsborg,kommunenr_1977,0114,Varteig
3105,Sarpsborg,kommunenr_1992,0105,Sarpsborg
3105,Sarpsborg,kommunenr_2020,3003,Sarpsborg
3105,Sarpsborg,kommunenr_1977,0115,Skjeberg
3105,Sarpsborg,kommunenr_1977,0102,Sarpsborg
3105,Sarpsborg,kommunenr_1977,0130,Tune
3107,Fredrikstad,kommunenr_1994,0106,Fredrikstad
3107,Fredrikstad,kommunenr_1977,0113,Borge
3107,Fredrikstad,kommunenr_2020,3004,Fredrikstad
3107,Fredrikstad,kommunenr_2024,3107,Fredrikstad
3107,Fredrikstad,kommunenr_1977,0131,Rolvsøy
3107,Fredrikstad,kommunenr_1977,0103,Fredrikstad
3107,Fredrikstad,kommunenr_1977,0134,Onsøy
3107,Fredrikstad,kommunenr_1977,0133,Kråkerøy
3110,Hvaler,kommunenr_2020,3011,Hvaler
3110,Hvaler,kommunenr_2024,3110,Hvaler
3110,Hvaler,kommunenr_1977,0111,Hvaler
3112,Råde,kommunenr_1977,0135,Råde
3112,Råde,kommunenr_2024,3112,Råde
3112,Råde,kommunenr_2020,3017,Råde
3114,Våler (Østfold),kommunenr_1977,0137,Våler (Østfold)
3114,Våler (Østfold),kommunenr_2024,3114,Våler (Østfold)
3114,Våler (Østfold),kommunenr_2020,3018,Våler (Viken)
3116,Skiptvet,kommunenr_1977,0127,Skiptvet
3116,Skiptvet,kommunenr_2024,3116,Skiptvet
3116,Skiptvet,kommunenr_2020,3015,Skiptvet
3118,Indre Østfold,kommunenr_2024,3118,Indre Østfold
3118,Indre Østfold,kommunenr_1977,0123,Spydeberg
3118,Indre Østfold,kommunenr_1977,0122,Trøgstad
3118,Indre Østfold,kommunenr_1977,0124,Askim
3118,Indre Østfold,kommunenr_2020,3014,Indre Østfold
3118,Indre Østfold,kommunenr_1977,0125,Eidsberg
3118,Indre Østfold,kommunenr_1977,0138,Hobøl
3120,Rakkestad,kommunenr_1977,0128,Rakkestad
3120,Rakkestad,kommunenr_2024,3120,Rakkestad
3120,Rakkestad,kommunenr_2020,3016,Rakkestad
3122,Marker,kommunenr_1977,0119,Marker
3122,Marker,kommunenr_2024,3122,Marker
3122,Marker,kommunenr_2020,3013,Marker
3124,Aremark,kommunenr_1977,0118,Aremark
3124,Aremark,kommunenr_2024,3124,Aremark
3124,Aremark,kommunenr_2020,3012,Aremark
3201,Bærum,kommunenr_2024,3201,Bærum
3201,Bærum,kommunenr_2020,3024,Bærum
3201,Bærum,kommunenr_1977,0219,Bærum
3203,Asker,kommunenr_1977,0220,Asker
3203,Asker,kommunenr_1977,0628,Hurum
3203,Asker,kommunenr_1977,0627,Røyken
3203,Asker,kommunenr_2020,3025,Asker
3203,Asker,kommunenr_2024,3203,Asker
3205,Lillestrøm,kommunenr_2024,3205,Lillestrøm
3205,Lillestrøm,kommunenr_1977,0226,Sørum
3205,Lillestrøm,kommunenr_1977,0227,Fet
3205,Lillestrøm,kommunenr_1977,0231,Skedsmo
3205,Lillestrøm,kommunenr_2020,3030,Lillestrøm
3207,Nordre Follo,kommunenr_2024,3207,Nordre Follo
3207,Nordre Follo,kommunenr_1977,0217,Oppegård
3207,Nordre Follo,kommunenr_2020,3020,Nordre Follo
3207,Nordre Follo,kommunenr_1977,0213,Ski
3209,Ullensaker,kommunenr_2024,3209,Ullensaker
3209,Ullensaker,kommunenr_1977,0235,Ullensaker
3209,Ullensaker,kommunenr_2020,3033,Ullensaker
3212,Nesodden,kommunenr_2024,3212,Nesodden
3212,Nesodden,kommunenr_1977,0216,Nesodden
3212,Nesodden,kommunenr_2020,3023,Nesodden
3214,Frogn,kommunenr_2024,3214,Frogn
3214,Frogn,kommunenr_2020,3022,Frogn
3214,Frogn,kommunenr_1977,0215,Frogn
3216,Vestby,kommunenr_2020,3019,Vestby
3216,Vestby,kommunenr_2024,3216,Vestby
3216,Vestby,kommunenr_1977,0211,Vestby
3218,Ås,kommunenr_1977,0214,Ås
3218,Ås,kommunenr_2020,3021,Ås
3218,Ås,kommunenr_2024,3218,Ås
3220,Enebakk,kommunenr_2024,3220,Enebakk
3220,Enebakk,kommunenr_2020,3028,Enebakk
3220,Enebakk,kommunenr_1977,0229,Enebakk
3222,Lørenskog,kommunenr_2020,3029,Lørenskog
3222,Lørenskog,kommunenr_1977,0230,Lørenskog
3222,Lørenskog,kommunenr_2024,3222,Lørenskog
3224,Rælingen,kommunenr_2020,3027,Rælingen
3224,Rælingen,kommunenr_1977,0228,Rælingen
3224,Rælingen,kommunenr_2024,3224,Rælingen
3226,Aurskog-Høland,kommunenr_2020,3026,Aurskog-Høland
3226,Aurskog-Høland,kommunenr_2024,3226,Aurskog-Høland
3226,Aurskog-Høland,kommunenr_1977,0121,Rømskog
3226,Aurskog-Høland,kommunenr_1977,0221,Aurskog-Høland
3228,Nes,kommunenr_2020,3034,Nes
3228,Nes,kommunenr_1977,0236,Nes (Akershus)
3228,Nes,kommunenr_2024,3228,Nes
3230,Gjerdrum,kommunenr_1977,0234,Gjerdrum
3230,Gjerdrum,kommunenr_2020,3032,Gjerdrum
3230,Gjerdrum,kommunenr_2024,3230,Gjerdrum
3232,Nittedal,kommunenr_1977,0233,Nittedal
3232,Nittedal,kommunenr_2024,3232,Nittedal
3232,Nittedal,kommunenr_2020,3031,Nittedal
3234,Lunner,kommunenr_1977,0533,Lunner
3234,Lunner,kommunenr_2024,3234,Lunner
3234,Lunner,kommunenr_2020,3054,Lunner
3236,Jevnaker,kommunenr_2020,3053,Jevnaker
3236,Jevnaker,kommunenr_1977,0532,Jevnaker
3236,Jevnaker,kommunenr_2024,3236,Jevnaker
3238,Nannestad,kommunenr_2024,3238,Nannestad
3238,Nannestad,kommunenr_2020,3036,Nannestad
3238,Nannestad,kommunenr_1977,0238,Nannestad
3240,Eidsvoll,kommunenr_1977,0237,Eidsvoll
3240,Eidsvoll,kommunenr_2024,3240,Eidsvoll
3240,Eidsvoll,kommunenr_2020,3035,Eidsvoll
3242,Hurdal,kommunenr_2024,3242,Hurdal
3242,Hurdal,kommunenr_1977,0239,Hurdal
3242,Hurdal,kommunenr_2020,3037,Hurdal
3301,Drammen,kommunenr_1977,0625,Nedre Eiker
3301,Drammen,kommunenr_1977,0602,Drammen
3301,Drammen,kommunenr_1977,0711,Svelvik
3301,Drammen,kommunenr_2020,3005,Drammen
3301,Drammen,kommunenr_2024,3301,Drammen
3303,Kongsberg,kommunenr_2024,3303,Kongsberg
3303,Kongsberg,kommunenr_1977,0604,Kongsberg
3303,Kongsberg,kommunenr_2020,3006,Kongsberg
3305,Ringerike,kommunenr_2020,3007,Ringerike
3305,Ringerike,kommunenr_2024,3305,Ringerike
3305,Ringerike,kommunenr_1977,0605,Ringerike
3310,Hole,kommunenr_1977,0612,Hole
3310,Hole,kommunenr_2020,3038,Hole
3310,Hole,kommunenr_2024,3310,Hole
3312,Lier,kommunenr_2024,3312,Lier
3312,Lier,kommunenr_1977,0626,Lier
3312,Lier,kommunenr_2020,3049,Lier
3314,Øvre Eiker,kommunenr_2020,3048,Øvre Eiker
3314,Øvre Eiker,kommunenr_2024,3314,Øvre Eiker
3314,Øvre Eiker,kommunenr_1977,0624,Øvre Eiker
3316,Modum,kommunenr_2020,3047,Modum
3316,Modum,kommunenr_1977,0623,Modum
3316,Modum,kommunenr_2024,3316,Modum
3318,Krødsherad,kommunenr_2024,3318,Krødsherad
3318,Krødsherad,kommunenr_2020,3046,Krødsherad
3318,Krødsherad,kommunenr_1977,0622,Krødsherad
3320,Flå,kommunenr_2020,3039,Flå
3320,Flå,kommunenr_2024,3320,Flå
3320,Flå,kommunenr_1977,0615,Flå
3322,Nesbyen,kommunenr_2024,3322,Nesbyen
3322,Nesbyen,kommunenr_2020,3040,Nesbyen
3322,Nesbyen,kommunenr_1977,0616,Nes (Buskerud)
3324,Gol,kommunenr_2024,3324,Gol
3324,Gol,kommunenr_2020,3041,Gol
3324,Gol,kommunenr_1977,0617,Gol
3326,Hemsedal,kommunenr_2024,3326,Hemsedal
3326,Hemsedal,kommunenr_1977,0618,Hemsedal
3326,Hemsedal,kommunenr_2020,3042,Hemsedal
3328,Ål,kommunenr_2024,3328,Ål
3328,Ål,kommunenr_1977,0619,Ål
3328,Ål,kommunenr_2020,3043,Ål
3330,Hol,kommunenr_2020,3044,Hol
3330,Hol,kommunenr_1977,0620,Hol
3330,Hol,kommunenr_2024,3330,Hol
