code;name;validFromInRequestedRange;validToInRequestedRange;newCode;newName;newShortName;changeOccurred;notes
54;Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku;2020-01-01;2024-01-01;55;Troms - Romsa - Tromssa;Troms;2024-01-01;
54;Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku;2020-01-01;2024-01-01;56;Finnmark - Finnmárku - Finmarkku;Finnmark;2024-01-01;
31;Østfold;2024-01-01;2024-02-01;31;Østfold;Østfold;;
32;Akershus;2024-01-01;2024-02-01;32;Akershus;Akershus;;
33;Buskerud;2024-01-01;2024-02-01;33;Buskerud;Buskerud;;
34;Innlandet;2020-01-01;2024-02-01;34;Innlandet;Innlandet;;
39;Vestfold;2024-01-01;2024-02-01;39;Vestfold;Vestfold;;
40;Telemark;2024-01-01;2024-02-01;40;Telemark;Telemark;;
42;Agder;2020-01-01;2024-02-01;42;Agder;Agder;;
46;Vestland;2020-01-01;2024-02-01;46;Vestland;Vestland;;
55;Troms - Romsa - Tromssa;2024-01-01;2024-02-01;55;Troms - Romsa - Tromssa;Troms;;
56;Finnmark - Finnmárku - Finmarkku;2024-01-01;2024-02-01;56;Finnmark - Finnmárku - Finmarkku;Finnmark;;
99;Uoppgitt;1977-01-02;2024-02-01;99;Uoppgitt;Uoppgitt;;
