kommunenr_2024,kommunenavn_2024,oek_regnr,oek_regnavn,validFrom
3234,Lunner,32002,Lillestrøm,2024-01-01
3236,Jevnaker,32002,Lillestrøm,2024-01-01
3238,Nannestad,32003,Ullensaker/Eidsvoll,2024-01-01
3240,Eidsvoll,32003,Ullensaker/Eidsvoll,2024-01-01
3242,Hurdal,32003,Ullensaker/Eidsvoll,2024-01-01
3301,Drammen,33002,Drammen,2024-01-01
3303,Kongsberg,33003,Kongsberg,2024-01-01
3305,Ringerike,33001,Hønefoss,2024-01-01
3310,Hole,33001,Hønefoss,2024-01-01
3312,Lier,33002,Drammen,2024-01-01
3314,Øvre Eiker,33002,Drammen,2024-01-01
3316,Modum,33002,Drammen,2024-01-01
3318,Krødsherad,33001,Hønefoss,2024-01-01
3320,Flå,33004,Hallingdal,2024-01-01
3322,Nesbyen,33004,Hallingdal,2024-01-01
3324,Gol,33004,Hallingdal,2024-01-01
3326,Hemsedal,33004,Hallingdal,2024-01-01
3328,Ål,33004,Hallingdal,2024-01-01
3330,Hol,33004,Hallingdal,2024-01-01
3332,Sigdal,33002,Drammen,2024-01-01
3334,Flesberg,33003,Kongsberg,2024-01-01
3336,Rollag,33003,Kongsberg,2024-01-01
3338,Nore og Uvdal,33003,Kongsberg,2024-01-01
3401,Kongsvinger,34001,Kongsvinger,2024-01-01
3403,Hamar,34002,Hamar,2024-01-01
3405,Lillehammer,34007,Lillehammer,2024-01-01
3407,Gjøvik,34008,Gjøvik,2024-01-01
3411,Ringsaker,34002,Hamar,2024-01-01
3412,Løten,34002,Hamar,2024-01-01
3413,Stange,34002,Hamar,2024-01-01
3414,Nord-Odal,34001,Kongsvinger,2024-01-01
3415,Sør-Odal,34001,Kongsvinger,2024-01-01
3416,Eidskog,34001,Kongsvinger,2024-01-01
3417,Grue,34001,Kongsvinger,2024-01-01
3418,Åsnes,34003,Elverum,2024-01-01
3419,Våler (Innlandet),34003,Elverum,2024-01-01
3420,Elverum,34003,Elverum,2024-01-01
3421,Trysil,34003,Elverum,2024-01-01
3422,Åmot,34003,Elverum,2024-01-01
3423,Stor-Elvdal,34004,Tynset,2024-01-01
3424,Rendalen,34004,Tynset,2024-01-01
3425,Engerdal,34003,Elverum,2024-01-01
3426,Tolga,34004,Tynset,2024-01-01
3427,Tynset,34004,Tynset,2024-01-01
3428,Alvdal,34004,Tynset,2024-01-01
3429,Folldal,34004,Tynset,2024-01-01
3430,Os,34004,Tynset,2024-01-01
3431,Dovre,34005,Nord-Gudbrandsdal,2024-01-01
3432,Lesja,34005,Nord-Gudbrandsdal,2024-01-01
3433,Skjåk,34005,Nord-Gudbrandsdal,2024-01-01
3434,Lom,34005,Nord-Gudbrandsdal,2024-01-01
3435,Vågå,34005,Nord-Gudbrandsdal,2024-01-01
3436,Nord-Fron,34006,Midt-Gudbrandsdal,2024-01-01
3437,Sel,34005,Nord-Gudbrandsdal,2024-01-01
3438,Sør-Fron,34006,Midt-Gudbrandsdal,2024-01-01
3439,Ringebu,34006,Midt-Gudbrandsdal,2024-01-01
3440,Øyer,34007,Lillehammer,2024-01-01
3441,Gausdal,34007,Lillehammer,2024-01-01
3442,Østre Toten,34008,Gjøvik,2024-01-01
3443,Vestre Toten,34008,Gjøvik,2024-01-01
3446,Gran,34008,Gjøvik,2024-01-01
3447,Søndre Land,34008,Gjøvik,2024-01-01
3448,Nordre Land,34008,Gjøvik,2024-01-01
3449,Sør-Aurdal,34009,Valdres,2024-01-01
3450,Etnedal,34009,Valdres,2024-01-01
3451,Nord-Aurdal,34009,Valdres,2024-01-01
3452,Vestre Slidre,34009,Valdres,2024-01-01
3453,Øystre Slidre,34009,Valdres,2024-01-01
3454,Vang,34009,Valdres,2024-01-01
3901,Horten,39002,Tønsberg/Horten,2024-01-01
3903,Holmestrand,39001,Holmestrand,2024-01-01
3905,Tønsberg,39002,Tønsberg/Horten,2024-01-01
3907,Sandefjord,39003,Sandefjord/Larvik,2024-01-01
3909,Larvik,39003,Sandefjord/Larvik,2024-01-01
3911,Færder,39002,Tønsberg/Horten,2024-01-01
4001,Porsgrunn,40001,Porsgrunn/Skien,2024-01-01
4003,Skien,40001,Porsgrunn/Skien,2024-01-01
